country,country_name,type,level,year,amount,difference
LT,Lithuania,Energy supplied,Total,2016,11536,-7485
LT,Lithuania,Total net production,Total,2016,4051,-7485
LT,Lithuania,Energy supplied,Total,2017,11874.2,-7878.1
LT,Lithuania,Total net production,Total,2017,3996.1,-7878.1
LT,Lithuania,Energy supplied,Total,2018,12089.188,-8906.093
LT,Lithuania,Total net production,Total,2018,3183.095,-8906.093
LU,Luxembourg,Energy supplied,Total,2016,6523.878,-4356.188
LU,Luxembourg,Total net production,Total,2016,2167.69,-4356.188
LU,Luxembourg,Energy supplied,Total,2017,6549.101,-4344.363
LU,Luxembourg,Total net production,Total,2017,2204.738,-4344.363
LU,Luxembourg,Energy supplied,Total,2018,6608.7,-4443.838
LU,Luxembourg,Total net production,Total,2018,2164.862,-4443.838
LV,Latvia,Energy supplied,Total,2016,6960,-1033
LV,Latvia,Total net production,Total,2016,5927,-1033
LV,Latvia,Energy supplied,Total,2017,6960.694,64.165
LV,Latvia,Total net production,Total,2017,7024.859,64.165
LV,Latvia,Energy supplied,Total,2018,7408,-908
LV,Latvia,Total net production,Total,2018,6500,-908
ME,Montenegro,Energy supplied,Total,2016,3327,-304
ME,Montenegro,Total net production,Total,2016,3023,-304
ME,Montenegro,Energy supplied,Total,2017,3484,-1120.2
ME,Montenegro,Total net production,Total,2017,2363.8,-1120.2
ME,Montenegro,Energy supplied,Total,2018,9981,-6238
ME,Montenegro,Total net production,Total,2018,3743,-6238
MK,North Macedonia,Energy supplied,Total,2016,7315.006,-2030.753
MK,North Macedonia,Total net production,Total,2016,5284.253,-2030.753
MK,North Macedonia,Energy supplied,Total,2017,7209.41,-1982.545
MK,North Macedonia,Total net production,Total,2017,5226.865,-1982.545
MK,North Macedonia,Energy supplied,Total,2018,7123.5,-1919.764
MK,North Macedonia,Total net production,Total,2018,5203.736,-1919.764
MT,Malta,Energy supplied,Total,2016,2332.16,-1525
MT,Malta,Total net production,Total,2016,807.16,-1525
MT,Malta,Energy supplied,Total,2017,2455.826,-861.367
